#py_latidx;py_lonidx;ID_river;Lat_idx;Lon_idx;River;Sal;Lat_idx_old;Lon_idx_old;Branch_perc;EFAS_flag(0=no EFAS; 1=1 point EFAS; N=EFAS to be splitted on N poits );EFAS_y_idx_py;EFAS_x_idx_py;
32;1164;1;33;1165;Nilo;8;;;;0;866;748;
33;1199;1;34;1200;Nilo;8;;;;0;;;
141;1297;48;142;1298;Asi_Orontes;15;;;;0;732;826;
146;1252;46;147;1253;Goksu;15;;;;0;738;791;
153;1288;45;154;1289;Ceyhan;15;;;;0;724;813;
157;1190;43;158;1191;Manavgat;15;157;1192;;0;742;747;
157;1272;44;158;1273;Seyhan;15;;;;0;724;804;
159;1183;42;160;1184;Koprucay;15;;;;0;741;739;
164;680;47;165;681;Medjerda;15;;;;0;787;366;
176;1087;41;177;1088;Buyuk_Menderes;15;;;;0;743;667;
196;941;39;197;942;Acheloos;15;;;;0;746;558;
202;1077;40;203;1078;Gediz;15;;;;0;724;658;
212;931;37;213;932;Arachthos;15;211;933;;0;732;555;
234;981;38;235;982;Pineios;15;;;;0;707;581;
247;980;36;248;981;Axios;15;;;;0;695;579;
251;898;24;252;899;Vjosa;15;;;;0;700;522;
253;457;2;254;458;ebro;30;255;457;;1;698;209;
253;1059;35;254;1060;Maritsa;15;255;1060;;0;678;633;
254;1007;34;255;1008;Struma;15;;;;0;685;597;
255;900;15;256;901;Seman;15;;;;0;696;522;
260;768;32;261;769;Volturno;15;;;;0;698;430;
260;901;33;261;902;Shkumbini;15;;;;0;691;523;
275;904;31;276;905;Mati;15;;;;0;677;523;
277;728;30;278;729;Tevere;15;;;50;0;685;401;
278;728;30;279;729;Tevere;15;;;50;0;685;401;
279;900;16;280;901;Buna_Bojana;15;;;50;0;673;520;
280;899;16;281;900;Buna_Bojana;15;;;50;0;673;520;
297;872;29;298;873;Trebisnjica;15;;;;0;656;498;
308;852;27;309;853;Neretva;15;;;;0;651;485;
312;513;28;313;514;Aude;15;;;;0;648;254;
315;551;13;316;552;rhonegrand;25;;;90;1;647;280;
318;540;49;319;541;rhonepetit;15;;;10;1;647;280;
323;815;25;324;816;Krka;15;;;;0;638;458;
324;681;26;325;682;Arno;15;;;;0;642;368;
346;730;14;347;731;Reno;15;;;;0;622;400;
346;790;23;347;791;Lika;15;;;;0;613;440;
350;730;12;351;731;Po_di_Volano;18;;;0;0;;;
350;732;10;351;733;pogoro;18;;;10;1;613;403;
350;733;9;351;734;pognocca;18;;;15.9;1;613;403;
352;735;8;353;736;potolle;18;;;77.9;2;613;403;
353;736;7;354;737;potolle;18;;;22.1;2;613;403;
354;737;6;355;738;podritta;18;;;18.5;3;613;403;
355;737;5;356;738;podritta;18;;;60.1;3;613;403;
356;735;4;357;736;podritta;18;;;21.4;3;613;403;
357;733;3;358;734;pomaistra;18;;;4.5;1;613;403;
358;732;11;359;733;Po_di_Levante;18;;;0;0;;;
359;732;22;360;733;Adige;15;;;;0;609;400;
360;731;21;361;732;Brenta_Bacchiglione;15;;;;0;608;399;
368;740;17;369;741;Piave;15;;;;0;601;406;
369;744;20;370;745;Livenza;15;;;;0;599;408;
371;750;18;372;751;Tagliamento;15;;;;0;598;412;
373;760;19;374;761;Isonzo;15;;;;0;595;418;
